drugbank-id1,drugbank-id2
DB00005,DB08910
DB00002,DB12589
DB00002,DB14824
DB00005,DB00496
DB00005,DB06594
DB00006,DB13528
DB00002,DB11803
DB00001,DB05990
DB00006,DB03410
DB00006,DB00015
DB00005,DB14711
DB00006,DB08550
DB00002,DB13386
DB00006,DB00573
DB00006,DB13499
DB00005,DB01621
DB00002,DB12560
DB00006,DB05773
DB00005,DB00401
DB00001,DB01283
DB00005,DB11703
DB00005,DB00091
DB00006,DB00987
DB00005,DB00304
DB00001,DB13044
DB00005,DB00697
DB00006,DB09074
DB00005,DB06769
DB00006,DB13371
DB00002,DB06241
DB00006,DB01112
DB00001,DB13230
DB00005,DB00814
DB00005,DB12768
DB00005,DB00921
DB00005,DB13944
DB00001,DB00081
DB00006,DB01168
DB00002,DB15415
DB00002,DB11621
DB00001,DB01381
DB00005,DB09052
DB00005,DB01323
DB00005,DB04889
DB00001,DB11079
DB00006,DB06700
DB00002,DB11930
DB00001,DB00293
DB00001,DB13646
DB00005,DB01289
DB00005,DB00590
DB00006,DB03619
DB00006,DB09109
DB00002,DB14776
DB00005,DB00755
DB00005,DB09225
DB00005,DB09068
DB00001,DB00048
DB00005,DB00338
DB00005,DB14011
DB00001,DB06737
DB00002,DB12142
DB00005,DB12267
DB00005,DB10769
DB00005,DB00533
DB00002,DB15453
DB00006,DB00977
DB00001,DB13001
DB00002,DB06049
DB00005,DB00970
DB00005,DB06370
DB00006,DB13602
DB00001,DB14655
DB00006,DB09214
DB00005,DB00026
DB00005,DB00497
DB00002,DB00075
DB00001,DB00721
DB00006,DB13722
DB00006,DB00307
DB00006,DB13821
DB00006,DB11051
DB00001,DB09084
DB00001,DB13616
DB00002,DB08904
DB00005,DB11919
DB00005,DB12978
DB00006,DB01357
DB00006,DB13143
DB00006,DB00261
DB00006,DB12409
DB00005,DB01175
DB00001,DB11608
DB00001,DB00078
DB00001,DB04896
DB00001,DB00833
DB00006,DB13167
DB00001,DB00188
DB00005,DB08875
DB00005,DB08952
DB00005,DB01184
DB00005,DB06414
DB00005,DB06652
DB00005,DB04951
DB00006,DB13951
DB00001,DB09259
DB00001,DB00564
DB00005,DB11003
DB00005,DB01466
DB00005,DB06168
DB00005,DB00289
DB00006,DB00974
DB00005,DB01217
DB00002,DB15252
DB00005,DB09383
DB00002,DB12363
DB00006,DB09253
DB00005,DB00197
DB00006,DB01169
DB00006,DB13150
DB00001,DB09381
DB00001,DB13367
DB00006,DB06543
DB00006,DB00361
DB00005,DB08868
DB00006,DB12321
DB00006,DB14562
DB00005,DB00987
DB00002,DB12296
DB00006,DB13275
DB00001,DB00631
DB00005,DB09074
DB00005,DB00514
DB00002,DB12119
DB00002,DB15277
DB00005,DB05229
DB00001,DB13509
DB00005,DB00998
DB00005,DB06210
DB00002,DB15595
DB00001,DB09217
DB00005,DB12952
DB00005,DB01168
DB00001,DB00233
DB00001,DB13923
DB00001,DB00176
DB00006,DB00367
DB00005,DB00637
DB00002,DB12498
DB00006,DB00322
DB00001,DB00606
DB00006,DB11429
DB00005,DB01024
DB00005,DB01114
DB00002,DB14907
DB00006,DB00351
DB00006,DB13946
DB00005,DB04630
DB00001,DB12289
DB00006,DB12610
DB00001,DB15334
DB00006,DB08951
DB00002,DB12089
DB00005,DB00787
DB00002,DB08879
DB00006,DB01105
DB00001,DB13999
DB00005,DB00977
DB00001,DB13943
DB00001,DB00550
DB00001,DB00908
DB00001,DB08918
DB00006,DB00812
DB00001,DB13286
DB00001,DB13418
DB00005,DB00307
DB00001,DB01564
DB00006,DB06725
DB00005,DB00291
DB00005,DB00111
DB00005,DB00261
DB00001,DB00544
DB00006,DB00242
DB00006,DB04839
DB00002,DB15045
DB00006,DB00025
DB00006,DB01164
DB00001,DB01066
DB00002,DB05496
DB00005,DB09312
DB00001,DB00580
DB00005,DB11038
DB00005,DB01129
DB00006,DB01481
DB00005,DB09061
DB00006,DB11093
DB00001,DB13954
DB00005,DB00281
DB00002,DB14959
DB00005,DB01257
DB00006,DB13327
DB00001,DB09077
DB00006,DB11478
DB00005,DB14185
DB00002,DB00255
DB00002,DB14012
DB00002,DB15258
DB00005,DB12996
DB00005,DB05246
DB00005,DB01255
DB00005,DB11580
DB00005,DB00912
DB00001,DB11668
DB00001,DB00465
DB00006,DB06695
DB00005,DB00818
DB00006,DB00444
DB00005,DB05942
DB00005,DB04846
DB00005,DB00528
DB00006,DB12831
DB00001,DB09215
DB00006,DB00567
DB00001,DB01424
DB00006,DB01326
DB00005,DB01108
DB00005,DB09299
DB00006,DB06441
DB00006,DB11455
DB00006,DB04743
DB00001,DB00120
DB00001,DB09070
DB00005,DB00361
DB00005,DB01203
DB00005,DB00928
DB00006,DB00619
DB00005,DB00480
DB00005,DB09076
DB00006,DB00821
DB00001,DB13956
DB00001,DB11507
DB00002,DB12090
DB00002,DB14784
DB00001,DB04682
DB00006,DB06715
DB00001,DB00378
DB00005,DB11952
DB00006,DB09124
DB00001,DB00773
DB00006,DB00620
DB00005,DB06737
DB00005,DB00296
DB00006,DB00783
DB00001,DB13884
DB00005,DB00051
DB00001,DB08833
DB00002,DB12797
DB00002,DB15354
DB00005,DB00829
DB00001,DB14700
DB00005,DB01131
DB00001,DB05254
DB00006,DB09248
DB00006,DB01373
DB00005,DB01396
DB00006,DB11367
DB00006,DB09212
DB00005,DB00857
DB00005,DB11757
DB00005,DB00440
DB00005,DB00683
DB00001,DB06724
DB00005,DB14010
DB00005,DB09378
DB00001,DB01294
DB00005,DB04898
DB00005,DB13946
DB00005,DB01132
DB00001,DB01008
DB00005,DB01623
DB00006,DB00805
DB00001,DB00957
DB00002,DB12342
DB00001,DB00999
DB00005,DB04856
DB00006,DB00554
DB00006,DB13481
DB00006,DB00011
DB00001,DB04574
DB00001,DB08981
DB00006,DB13563
DB00005,DB01285
DB00002,DB14597
DB00005,DB00078
DB00006,DB01181
DB00005,DB00812
DB00005,DB00836
DB00002,DB00095
DB00006,DB11466
DB00002,DB11776
DB00006,DB00055
DB00005,DB00705
DB00005,DB14132
DB00006,DB09539
DB00005,DB06725
DB00001,DB13386
DB00001,DB01041
DB00002,DB06557
DB00005,DB00933
DB00006,DB00468
DB00002,DB06116
DB00001,DB00041
DB00005,DB00425
DB00002,DB15900
DB00006,DB00380
DB00005,DB00820
DB00005,DB13679
DB00001,DB00562
DB00005,DB06506
DB00006,DB00018
DB00006,DB00675
DB00002,DB15090
DB00006,DB00784
DB00005,DB04977
DB00001,DB00932
DB00001,DB06228
DB00006,DB01254
DB00005,DB12926
DB00006,DB00752
DB00005,DB15654
DB00006,DB09329
DB00006,DB13952
DB00001,DB09246
DB00006,DB09008
DB00005,DB00688
DB00002,DB12261
DB00005,DB01196
DB00005,DB11979
DB00005,DB06678
DB00005,DB01656
DB00005,DB06201
DB00006,DB00073
DB00005,DB00444
DB00001,DB09123
DB00005,DB09351
DB00001,DB01590
DB00005,DB00567
DB00006,DB13929
DB00006,DB00009
DB00006,DB01401
DB00005,DB05271
DB00005,DB00343
DB00005,DB00409
DB00005,DB05440
DB00006,DB11606
DB00005,DB06400
DB00005,DB09033
DB00006,DB00958
DB00001,DB00936
DB00001,DB04905
DB00005,DB04938
DB00001,DB14055
DB00006,DB09288
DB00001,DB09249
DB00006,DB13407
DB00001,DB13532
DB00001,DB13804
DB00001,DB08940
DB00001,DB09073
DB00005,DB06176
DB00002,DB11976
DB00006,DB00476
DB00001,DB00515
DB00006,DB00034
DB00005,DB00706
DB00005,DB13943
DB00006,DB00583
DB00004,DB00012
DB00001,DB01418
DB00006,DB00262
DB00001,DB05095
DB00006,DB13544
DB00006,DB01586
DB00005,DB06403
DB00006,DB01250
DB00005,DB00805
DB00001,DB05472
DB00001,DB08816
DB00001,DB09568
DB00005,DB01544
DB00006,DB05258
DB00005,DB10062
DB00001,DB04348
DB00001,DB09218
DB00001,DB08814
DB00001,DB13136
DB00002,DB15443
DB00001,DB08889
DB00006,DB00569
DB00002,DB12609
DB00002,DB08935
DB00005,DB01181
DB00005,DB08893
DB00002,DB11674
DB00001,DB12445
DB00006,DB04818
DB00005,DB00087
DB00005,DB11362
DB00005,DB01611
DB00005,DB06584
DB00005,DB00468
DB00001,DB01399
DB00006,DB01109
DB00006,DB01101
DB00002,DB08902
DB00006,DB01324
DB00001,DB00603
DB00006,DB13638
DB00005,DB12386
DB00002,DB15076
DB00006,DB04868
DB00001,DB13232
DB00005,DB00675
DB00005,DB01072
DB00005,DB00784
DB00002,DB14042
DB00001,DB13036
DB00006,DB07615
DB00006,DB00056
DB00006,DB11126
DB00002,DB04573
DB00005,DB14568
DB00005,DB00328
DB00002,DB11988
DB00005,DB02489
DB00001,DB01206
DB00005,DB13952
DB00005,DB09231
DB00006,DB00266
DB00005,DB13956
DB00001,DB00749
DB00005,DB00678
DB00005,DB00458
DB00005,DB00744
DB00006,DB00086
DB00001,DB13510
DB00002,DB14997
DB00006,DB00774
DB00005,DB00571
DB00005,DB00073
DB00005,DB09204
DB00001,DB00656
DB00002,DB01270
DB00002,DB06043
DB00001,DB14725
DB00006,DB09245
DB00001,DB09543
DB00006,DB04665
DB00001,DB13667
DB00001,DB06772
DB00006,DB11268
DB00006,DB00022
DB00006,DB04575
DB00005,DB12474
DB00006,DB04017
DB00001,DB06206
DB00002,DB05892
DB00005,DB09289
DB00005,DB06119
DB00005,DB06204
DB00002,DB05679
DB00001,DB02123
DB00005,DB01008
DB00005,DB00958
DB00006,DB00788
DB00005,DB09195
DB00005,DB01559
DB00001,DB00309
DB00001,DB13981
DB00001,DB14726
DB00005,DB00476
DB00002,DB13535
DB00005,DB00034
DB00001,DB00008
DB00006,DB04820
DB00005,DB08901
DB00006,DB00203
DB00006,DB13266
DB00001,DB13451
DB00005,DB00262
DB00006,DB12092
DB00001,DB13947
DB00001,DB00763
DB00005,DB00972
DB00002,DB00890
DB00006,DB00100
DB00001,DB13430
DB00002,DB06273
DB00005,DB00334
DB00002,DB12157
DB00001,DB08887
DB00006,DB11311
DB00001,DB00105
DB00005,DB11855
DB00006,DB13347
DB00006,DB11154
DB00005,DB00661
DB00001,DB00255
DB00001,DB00762
DB00001,DB01166
DB00002,DB09331
DB00005,DB04914
DB00005,DB05258
DB00005,DB00072
DB00005,DB09200
DB00001,DB13201
DB00001,DB13644
DB00001,DB00601
DB00002,DB05773
DB00005,DB00333
DB00001,DB00500
DB00001,DB12693
DB00005,DB12406
DB00006,DB12726
DB00001,DB00945
DB00001,DB11312
DB00002,DB12807
DB00006,DB00539
DB00005,DB01101
DB00001,DB08955
DB00002,DB13073
DB00002,DB12023
DB00005,DB00696
DB00002,DB11746
DB00002,DB14004
DB00006,DB06713
DB00005,DB00056
DB00005,DB07615
DB00006,DB00859
DB00005,DB14009
DB00001,DB00780
DB00006,DB13314
DB00006,DB06287
